Gemeente,Provincie,Totaal bos en open natuurlijk terrein (ha)
Appingedam,Groningen,62
Bedum,Groningen,100
Bellingwedde,Groningen,424
Ten Boer,Groningen,41
Delfzijl,Groningen,680
Eemsmond,Groningen,1315
Groningen (gemeente),Groningen,306
Grootegast,Groningen,111
Haren,Groningen,818
Hoogezand-Sappemeer,Groningen,621
Leek,Groningen,235
Loppersum,Groningen,100
De Marne,Groningen,3663
Marum,Groningen,158
Menterwolde,Groningen,295
Oldambt,Groningen,1673
Pekela,Groningen,143
Slochteren,Groningen,996
Stadskanaal,Groningen,661
Veendam,Groningen,51
Vlagtwedde,Groningen,1437
Winsum,Groningen,28
Zuidhorn,Groningen,57
Achtkarspelen,Friesland,331
Ameland,Friesland,3112
het Bildt,Friesland,579
Dantumadiel,Friesland,508
Dongeradeel,Friesland,1414
Ferwerderadiel,Friesland,1613
Franekeradeel,Friesland,53
De Fryske Marren,Friesland,2630
Harlingen,Friesland,41
Heerenveen,Friesland,1569
Kollumerland en Nieuwkruisland,Friesland,1590
Leeuwarden,Friesland,1138
Leeuwarderadeel,Friesland,65
Littenseradiel,Friesland,13
Menameradiel,Friesland,38
Ooststellingwerf,Friesland,4462
Opsterland,Friesland,2959
Schiermonnikoog,Friesland,3844
Smallingerland,Friesland,585
Súdwest-Fryslân,Friesland,1351
Terschelling,Friesland,6926
Tytsjerksteradiel,Friesland,1046
Vlieland,Friesland,4038
Weststellingwerf,Friesland,2350
Aa en Hunze,Drenthe,6628
Assen,Drenthe,1231
Borger-Odoorn,Drenthe,4061
Coevorden,Drenthe,3590
Emmen,Drenthe,3855
Hoogeveen,Drenthe,1431
Meppel,Drenthe,148
Midden-Drenthe,Drenthe,6277
Noordenveld,Drenthe,5049
Tynaarlo,Drenthe,1519
Westerveld,Drenthe,10657
De Wolden,Drenthe,2526
Almelo,Overijssel,435
Borne,Overijssel,154
Dalfsen,Overijssel,1627
Deventer,Overijssel,1584
Dinkelland,Overijssel,1967
Enschede,Overijssel,2378
Haaksbergen,Overijssel,2220
Hardenberg,Overijssel,2244
Hellendoorn,Overijssel,4189
Hengelo (O.),Overijssel,785
Hof van Twente,Overijssel,3437
Kampen,Overijssel,701
Losser,Overijssel,1809
Oldenzaal,Overijssel,225
Olst-Wijhe,Overijssel,898
Ommen,Overijssel,5150
Raalte,Overijssel,1407
Rijssen-Holten,Overijssel,2437
Staphorst,Overijssel,1172
Steenwijkerland,Overijssel,7254
Tubbergen,Overijssel,1134
Twenterand,Overijssel,1223
Wierden,Overijssel,1024
Zwartewaterland,Overijssel,494
Zwolle,Overijssel,438
Almere,Flevoland,3088
Dronten,Flevoland,3797
Lelystad,Flevoland,7149
Noordoostpolder,Flevoland,2497
Urk,Flevoland,205
Zeewolde,Flevoland,5565
Aalten,Gelderland,420
Apeldoorn,Gelderland,19542
Arnhem,Gelderland,3621
Barneveld,Gelderland,5320
Berg en Dal,Gelderland,2191
Berkelland,Gelderland,2251
Beuningen,Gelderland,184
Bronckhorst,Gelderland,3567
Brummen,Gelderland,1559
Buren,Gelderland,308
Culemborg,Gelderland,243
Doesburg,Gelderland,30
Doetinchem,Gelderland,803
Druten,Gelderland,193
Duiven,Gelderland,25
Ede,Gelderland,16837
Elburg,Gelderland,2470
Epe,Gelderland,7234
Ermelo,Gelderland,5130
Geldermalsen,Gelderland,700
Harderwijk,Gelderland,1546
