Regio's,Laag onderwijsniveau (%),Middelbaar onderwijsniveau (%),Hoog onderwijsniveau (%)
Aa en Hunze,23.9,44.9,31.3
Aalsmeer,26.9,41.8,31.3
Aalten,28.2,48.2,23.6
Achtkarspelen,32.8,50.5,16.7
Alblasserdam,30.8,47.2,22
Albrandswaard,23.4,43.3,33.3
Alkmaar,25.3,42.2,32.5
Almelo,32.3,44.2,23.5
Almere,26.5,44.2,29.3
Alphen aan den Rijn,25.4,45.3,29.3
Alphen-Chaam,20.9,44.9,34.1
Altena,32.4,46.7,20.9
Ameland,24.6,52.5,22.9
Amersfoort,21.6,36.5,41.9
Amstelveen,20.6,31.7,47.7
Amsterdam,21.9,29.9,48.2
Apeldoorn,27.1,42.9,30
Arnhem,25.5,37.7,36.8
Assen,24.3,46.9,28.8
Asten,29.7,44.3,26
Baarle-Nassau,40.3,40.6,19.1
Baarn,24,37.6,38.5
Barendrecht,24.3,44,31.7
Barneveld,29.7,47.1,23.2
Beek,26.4,43,30.6
Beekdaelen,25.7,43.1,31.2
Beesel,33.3,45,21.7
Berg en Dal,26.2,42.1,31.7
Bergeijk,27.8,46.2,25.9
Bergen (L.),28.7,50.3,21
Bergen (NH.),22.4,41.4,36.1
Bergen op Zoom,27.5,42.2,30.3
Berkelland,26.2,49.7,24.1
Bernheze,26.5,44.3,29.1
Best,22.8,40.7,36.5
Beuningen,24.9,44.2,30.9
Beverwijk,29.7,46.3,24
De Bilt,19.8,32.4,47.8
Bladel,27.7,45.7,26.6
Blaricum,18.7,38.4,42.8
Bloemendaal,16,27.1,56.9
Bodegraven-Reeuwijk,25.7,44.1,30.2
Boekel,29,47.8,23.2
Borger-Odoorn,26.8,50.2,23
Borne,22.1,42.5,35.4
Borsele,24.9,50.5,24.6
Boxtel,29.8,41.7,28.5
Breda,22,38.1,39.9
Brielle,25.8,48.4,25.8
Bronckhorst,26.7,47.7,25.7
Brummen,28.4,45.3,26.3
Brunssum,33.5,45.8,20.7
Bunnik,17.1,32.4,50.5
Bunschoten,32,49.3,18.8
