Regio's,A-U Alle economische activiteiten,"A Landbouw, bosbouw en visserij",C Industrie,F Bouwnijverheid,G Handel,H Vervoer en opslag,I Horeca,J Informatie en communicatie,K Financiële dienstverlening,L Verhuur en handel van onroerend goed,M Specialistische zakelijke diensten,N Verhuur en overige zakelijke diensten,P Onderwijs,Q Gezondheids- en welzijnszorg,"R Cultuur, sport en recreatie",S Overige dienstverlening
Aa en Hunze,3120.0,300.0,105.0,260.0,355.0,45.0,150.0,105.0,175.0,35.0,525.0,135.0,185.0,370.0,155.0,200.0
Aalsmeer,4945.0,120.0,195.0,490.0,940.0,170.0,110.0,240.0,500.0,95.0,830.0,265.0,240.0,295.0,200.0,230.0
Aalten,2885.0,345.0,195.0,305.0,425.0,30.0,90.0,70.0,185.0,40.0,375.0,95.0,120.0,295.0,130.0,180.0
Achtkarspelen,3120.0,230.0,135.0,605.0,630.0,90.0,80.0,75.0,135.0,35.0,330.0,125.0,105.0,220.0,90.0,220.0
Alblasserdam,2290.0,15.0,120.0,325.0,395.0,115.0,55.0,95.0,180.0,60.0,360.0,110.0,85.0,195.0,60.0,115.0
Albrandswaard,2930.0,30.0,90.0,260.0,385.0,185.0,55.0,125.0,275.0,45.0,605.0,145.0,185.0,270.0,105.0,165.0
Alkmaar,14945.0,215.0,475.0,1635.0,2140.0,305.0,505.0,765.0,910.0,260.0,2615.0,635.0,1045.0,1600.0,820.0,960.0
Almelo,7345.0,130.0,350.0,795.0,1490.0,160.0,220.0,280.0,510.0,110.0,1010.0,295.0,340.0,890.0,225.0,505.0
Almere,27120.0,100.0,760.0,2625.0,3930.0,1030.0,865.0,2035.0,1220.0,320.0,4665.0,1685.0,1675.0,3300.0,1265.0,1580.0
Alphen aan den Rijn,13645.0,790.0,540.0,1555.0,1990.0,295.0,300.0,705.0,935.0,180.0,2445.0,710.0,730.0,1235.0,480.0,715.0
Alphen-Chaam,1700.0,250.0,80.0,175.0,205.0,20.0,65.0,50.0,115.0,30.0,280.0,60.0,70.0,145.0,55.0,85.0
Altena,7825.0,415.0,515.0,1115.0,1330.0,445.0,165.0,215.0,540.0,90.0,1190.0,320.0,260.0,525.0,255.0,405.0
Ameland,670.0,45.0,15.0,55.0,75.0,20.0,140.0,10.0,30.0,25.0,60.0,45.0,20.0,35.0,40.0,40.0
Amersfoort,22040.0,85.0,535.0,1260.0,2565.0,390.0,605.0,1600.0,1375.0,270.0,5210.0,980.0,1760.0,2910.0,1350.0,1080.0
Amstelveen,12590.0,75.0,260.0,570.0,1615.0,320.0,350.0,940.0,1180.0,285.0,3045.0,600.0,840.0,1300.0,640.0,550.0
Amsterdam,181675.0,160.0,3520.0,8495.0,18340.0,7115.0,8650.0,15225.0,11065.0,3115.0,43715.0,8100.0,10460.0,14975.0,21085.0,7165.0
Apeldoorn,19575.0,300.0,645.0,1415.0,3145.0,445.0,675.0,1025.0,1320.0,330.0,3565.0,885.0,1220.0,2505.0,920.0,1105.0
Arnhem,22075.0,55.0,510.0,1380.0,2720.0,425.0,760.0,1340.0,1015.0,245.0,4805.0,885.0,1565.0,3335.0,1830.0,1120.0
Assen,6390.0,70.0,215.0,445.0,1100.0,120.0,210.0,345.0,360.0,80.0,1080.0,275.0,415.0,865.0,300.0,470.0
Asten,2415.0,260.0,150.0,270.0,325.0,35.0,75.0,60.0,245.0,35.0,325.0,75.0,95.0,225.0,95.0,145.0
Baarle-Nassau,1195.0,210.0,75.0,125.0,195.0,20.0,50.0,35.0,60.0,25.0,150.0,45.0,40.0,75.0,40.0,55.0
Baarn,4035.0,30.0,80.0,350.0,435.0,35.0,105.0,255.0,340.0,75.0,1005.0,205.0,245.0,450.0,225.0,190.0
Barendrecht,6225.0,35.0,175.0,530.0,1055.0,285.0,105.0,310.0,630.0,125.0,1200.0,305.0,345.0,575.0,165.0,365.0
Barneveld,8885.0,730.0,535.0,1420.0,1265.0,200.0,220.0,285.0,720.0,155.0,1280.0,415.0,325.0,690.0,225.0,390.0
Beek (L.),1925.0,35.0,75.0,135.0,355.0,95.0,75.0,70.0,125.0,35.0,350.0,85.0,85.0,185.0,70.0,140.0
Beekdaelen,3860.0,155.0,145.0,365.0,500.0,75.0,165.0,130.0,235.0,50.0,670.0,165.0,180.0,500.0,215.0,300.0
Beesel,1170.0,55.0,65.0,100.0,195.0,30.0,45.0,40.0,90.0,20.0,155.0,50.0,50.0,120.0,50.0,100.0
Berg en Dal,4105.0,150.0,145.0,470.0,445.0,60.0,155.0,155.0,305.0,60.0,660.0,185.0,265.0,555.0,225.0,245.0
Bergeijk,2840.0,245.0,215.0,375.0,385.0,45.0,95.0,70.0,250.0,30.0,420.0,120.0,95.0,220.0,90.0,165.0
Bergen (L.),1360.0,160.0,90.0,140.0,175.0,30.0,80.0,45.0,75.0,20.0,150.0,55.0,65.0,120.0,50.0,100.0
Bergen (NH.),4875.0,120.0,135.0,425.0,570.0,55.0,290.0,190.0,450.0,125.0,910.0,160.0,320.0,560.0,320.0,210.0
Bergen op Zoom,7305.0,130.0,335.0,685.0,1130.0,190.0,290.0,250.0,395.0,110.0,1235.0,295.0,405.0,940.0,365.0,515.0
Berkelland,5195.0,790.0,245.0,440.0,720.0,50.0,175.0,145.0,350.0,65.0,705.0,195.0,250.0,510.0,230.0,305.0
Bernheze,4280.0,390.0,200.0,620.0,590.0,80.0,90.0,130.0,390.0,65.0,640.0,150.0,175.0,350.0,165.0,235.0
Best,3590.0,90.0,160.0,335.0,555.0,70.0,85.0,165.0,320.0,45.0,685.0,125.0,205.0,380.0,115.0,235.0
Beuningen,3095.0,85.0,115.0,305.0,485.0,75.0,80.0,125.0,240.0,30.0,540.0,135.0,150.0,360.0,125.0,205.0
Beverwijk,5320.0,20.0,175.0,835.0,1075.0,180.0,235.0,185.0,295.0,80.0,710.0,260.0,280.0,440.0,190.0,310.0
De Bilt,6725.0,115.0,140.0,420.0,570.0,95.0,120.0,375.0,590.0,140.0,1845.0,230.0,490.0,950.0,370.0,250.0
Bladel,2845.0,190.0,240.0,375.0,465.0,50.0,80.0,95.0,245.0,35.0,380.0,110.0,90.0,225.0,95.0,160.0
Blaricum,2230.0,10.0,40.0,140.0,230.0,25.0,35.0,140.0,325.0,75.0,590.0,125.0,110.0,200.0,90.0,90.0
Bloemendaal,4090.0,15.0,55.0,135.0,340.0,30.0,100.0,180.0,555.0,105.0,1345.0,155.0,260.0,485.0,195.0,120.0
Bodegraven-Reeuwijk,5325.0,270.0,175.0,735.0,715.0,125.0,110.0,230.0,520.0,115.0,975.0,265.0,220.0,415.0,165.0,270.0
Boekel,1510.0,210.0,110.0,245.0,210.0,30.0,30.0,35.0,110.0,10.0,155.0,50.0,60.0,105.0,45.0,95.0
Borger-Odoorn,3045.0,315.0,145.0,320.0,430.0,70.0,130.0,80.0,170.0,35.0,410.0,125.0,145.0,325.0,130.0,200.0
Borne,2465.0,55.0,115.0,200.0,415.0,25.0,60.0,85.0,210.0,40.0,435.0,90.0,140.0,330.0,115.0,145.0
Borsele,2845.0,370.0,165.0,330.0,345.0,110.0,75.0,60.0,220.0,45.0,345.0,110.0,115.0,270.0,90.0,160.0
Boxtel,4065.0,150.0,185.0,500.0,585.0,75.0,130.0,145.0,285.0,55.0,700.0,165.0,230.0,435.0,170.0,235.0
Breda,26435.0,215.0,830.0,1865.0,3805.0,685.0,920.0,1415.0,1975.0,370.0,5815.0,1100.0,1720.0,2995.0,1440.0,1210.0
Brielle,2150.0,105.0,95.0,230.0,315.0,55.0,80.0,70.0,185.0,40.0,365.0,95.0,100.0,180.0,80.0,155.0
Bronckhorst,5250.0,740.0,240.0,475.0,680.0,60.0,180.0,135.0,370.0,85.0,765.0,210.0,230.0,515.0,250.0,290.0
Brummen,2420.0,125.0,115.0,160.0,355.0,30.0,75.0,80.0,190.0,60.0,430.0,95.0,140.0,290.0,100.0,145.0
Brunssum,2040.0,15.0,75.0,270.0,305.0,35.0,95.0,70.0,80.0,20.0,280.0,85.0,110.0,275.0,90.0,220.0
Bunnik,2300.0,110.0,50.0,215.0,225.0,20.0,45.0,145.0,150.0,25.0,540.0,110.0,150.0,265.0,120.0,105.0
Bunschoten,2870.0,75.0,140.0,355.0,675.0,45.0,80.0,85.0,275.0,40.0,415.0,125.0,105.0,170.0,85.0,195.0
Buren,4245.0,440.0,150.0,515.0,615.0,135.0,110.0,120.0,255.0,50.0,750.0,180.0,180.0,315.0,185.0,220.0
Capelle aan den IJssel,8120.0,25.0,200.0,770.0,1240.0,320.0,155.0,495.0,575.0,120.0,1500.0,505.0,480.0,990.0,280.0,430.0
Castricum,4745.0,80.0,125.0,515.0,595.0,65.0,150.0,250.0,415.0,60.0,935.0,190.0,330.0,485.0,245.0,285.0
Coevorden,4045.0,445.0,165.0,375.0,685.0,70.0,180.0,105.0,235.0,40.0,520.0,165.0,190.0,395.0,175.0,280.0
Cranendonck,2710.0,160.0,190.0,340.0,420.0,45.0,80.0,75.0,205.0,25.0,385.0,110.0,125.0,250.0,90.0,195.0
Culemborg,3820.0,60.0,150.0,275.0,530.0,80.0,85.0,200.0,215.0,40.0,825.0,180.0,305.0,405.0,250.0,220.0
Dalfsen,3480.0,490.0,170.0,300.0,525.0,65.0,105.0,105.0,215.0,55.0,485.0,130.0,170.0,325.0,115.0,200.0
Dantumadiel,1875.0,165.0,95.0,355.0,365.0,35.0,50.0,40.0,80.0,20.0,195.0,70.0,75.0,145.0,60.0,120.0
Delft,11870.0,100.0,370.0,1030.0,1290.0,300.0,520.0,1010.0,495.0,135.0,2910.0,435.0,790.0,1235.0,665.0,535.0
Deurne,4220.0,465.0,265.0,515.0,620.0,75.0,120.0,100.0,375.0,40.0,525.0,160.0,150.0,395.0,140.0,250.0
Deventer,11495.0,310.0,375.0,755.0,1710.0,140.0,405.0,630.0,660.0,155.0,2270.0,510.0,720.0,1485.0,710.0,630.0
Diemen,4405.0,5.0,90.0,360.0,585.0,210.0,160.0,350.0,235.0,70.0,835.0,295.0,295.0,380.0,305.0,210.0
Dijk en Waard,9860.0,195.0,405.0,1355.0,1560.0,255.0,205.0,405.0,695.0,155.0,1620.0,465.0,555.0,965.0,370.0,625.0
Dinkelland,3465.0,575.0,185.0,275.0,560.0,50.0,125.0,80.0,325.0,45.0,445.0,110.0,120.0,250.0,120.0,185.0
Doesburg,1170.0,20.0,45.0,95.0,195.0,25.0,55.0,50.0,65.0,15.0,235.0,35.0,60.0,125.0,70.0,75.0
Doetinchem,6975.0,200.0,300.0,615.0,1250.0,105.0,200.0,260.0,555.0,100.0,1080.0,300.0,375.0,870.0,315.0,425.0
Dongen,3010.0,120.0,150.0,345.0,480.0,70.0,75.0,110.0,220.0,40.0,515.0,130.0,155.0,255.0,105.0,210.0
Dordrecht,14000.0,95.0,565.0,1860.0,2075.0,560.0,385.0,575.0,880.0,220.0,2350.0,660.0,775.0,1565.0,625.0,740.0
